Repository Name,Created At,Stars,Pull Requests,Releases,Issues,Closed Issues,Language
freeCodeCamp,2014-12-24T17:49:19Z,410341,39179,0,18930,18759,TypeScript
free-programming-books,2013-10-11T06:50:37Z,350937,10449,0,1160,1131,HTML
awesome,2014-07-11T13:42:37Z,348277,2105,0,347,335,N/A
build-your-own-x,2018-05-09T12:03:18Z,338888,435,0,730,541,Markdown
public-apis,2016-03-20T23:49:42Z,328173,3350,0,652,603,Python
coding-interview-university,2016-06-06T02:34:12Z,312200,1012,0,511,458,N/A
developer-roadmap,2017-03-15T13:45:52Z,308884,4886,1,2667,2529,TypeScript
system-design-primer,2017-02-26T16:15:28Z,289906,572,0,319,87,Python
996.ICU,2019-03-26T07:31:14Z,270288,1987,0,0,0,N/A
awesome-python,2014-06-27T21:00:06Z,234888,1972,0,0,0,Python
react,2013-05-24T16:15:54Z,232504,16880,103,13535,12756,JavaScript
project-based-learning,2017-04-12T05:07:46Z,218539,443,0,190,78,N/A
awesome-selfhosted,2015-06-01T02:33:17Z,217641,3036,1,803,803,N/A
vue,2013-07-29T03:24:51Z,208399,2563,249,10018,9664,TypeScript
Python,2016-07-16T09:44:01Z,197541,10427,0,1556,1492,Python
javascript-algorithms,2018-03-24T07:47:04Z,190190,773,0,356,227,JavaScript
linux,2011-09-04T22:48:12Z,188235,1054,0,0,0,C
tensorflow,2015-11-07T01:19:20Z,188191,45624,213,40251,39447,C++
You-Dont-Know-JS,2013-11-16T02:37:24Z,181094,891,0,936,855,N/A
CS-Notes,2018-02-13T14:56:24Z,178991,619,0,596,448,N/A
ohmyzsh,2009-08-28T18:15:37Z,176249,7524,0,4894,4760,Shell
computer-science,2014-05-04T00:18:39Z,175736,460,0,642,628,N/A
AutoGPT,2023-03-16T09:21:07Z,171789,5146,42,3141,2975,Python
bootstrap,2011-07-29T21:19:00Z,171593,15480,89,22621,22121,JavaScript
flutter,2015-03-06T22:54:58Z,168785,59061,7,103559,90572,Dart
vscode,2015-09-03T20:23:38Z,167645,36946,156,190758,182080,TypeScript
gitignore,2010-11-08T20:17:14Z,164566,4496,0,0,0,N/A
Python-100-Days,2018-03-01T16:05:52Z,161091,350,0,660,114,Jupyter Notebook
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,158803,298,0,0,0,N/A
the-art-of-command-line,2015-05-20T15:11:03Z,154789,594,0,254,136,N/A
JavaGuide,2018-05-07T13:27:00Z,148240,1442,0,1073,1008,Java
stable-diffusion-webui,2022-08-22T14:05:26Z,148226,3226,27,7749,5446,Python
javascript,2012-11-01T23:13:50Z,146163,1629,0,1347,1252,JavaScript
transformers,2018-10-29T13:56:00Z,139962,19112,180,16704,15710,Python
awesome-go,2014-07-06T13:42:15Z,138589,4790,0,670,665,Go
youtube-dl,2010-10-31T14:35:07Z,134323,4962,341,26688,22998,Python
next.js,2016-10-05T23:32:51Z,129599,27312,1000,22410,19736,JavaScript
ollama,2023-06-26T19:39:32Z,128599,2993,115,6071,4698,Go
fucking-algorithm,2020-02-19T09:01:23Z,126905,503,1,881,877,Markdown
go,2014-08-19T04:33:40Z,125999,4386,0,65573,56416,Go
30-seconds-of-code,2017-11-29T17:35:03Z,122743,1617,11,296,296,JavaScript
tech-interview-handbook,2016-07-05T05:00:48Z,122018,551,0,107,70,TypeScript
Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,120907,38,19,575,573,Batchfile
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,120756,667,0,0,0,HTML
react-native,2015-01-09T18:10:16Z,120683,20989,375,26655,26064,C++
scrcpy,2017-11-21T18:00:27Z,117948,530,44,5226,3017,C
electron,2013-04-12T01:47:36Z,115563,24370,1000,20547,19692,C++
PowerToys,2019-05-01T17:44:02Z,115015,5788,109,31569,25754,C#
kubernetes,2014-06-06T22:56:04Z,113258,83159,722,46680,44795,Go
free-programming-books-zh_CN,2013-11-04T01:59:19Z,112690,467,3,0,0,N/A
d3,2010-09-27T17:22:42Z,109878,1195,194,2224,2215,Shell
node,2014-11-26T19:57:11Z,109781,36069,429,18797,17159,JavaScript
hello-algo,2022-11-04T11:08:34Z,109244,1143,9,253,235,Java
axios,2014-08-18T22:30:27Z,106361,1766,87,4757,4196,JavaScript
three.js,2010-03-23T18:58:01Z,104462,17527,165,12846,12424,JavaScript
create-react-app,2016-07-17T14:55:11Z,103108,4306,83,8371,6560,JavaScript
TypeScript,2014-06-17T15:28:39Z,102304,18428,206,41711,36187,TypeScript
deno,2018-05-15T01:34:26Z,101865,14878,312,12107,10143,Rust
nodebestpractices,2017-09-15T08:33:19Z,101853,962,0,325,284,Dockerfile
rust,2010-06-16T20:39:03Z,101438,80371,135,56668,46675,Rust
yt-dlp,2020-10-26T04:22:55Z,101306,3451,104,8714,7206,Python
langchain,2022-10-17T02:58:36Z,101243,16887,806,8213,7867,Jupyter Notebook
HelloGitHub,2016-05-04T06:24:11Z,98770,48,51,2751,2559,Python
terminal,2017-08-11T18:38:22Z,97116,4592,128,13117,11518,C++
angular,2014-09-18T16:12:01Z,97010,29543,407,28757,27244,TypeScript
material-ui,2014-08-18T19:11:54Z,94851,24239,521,19831,18156,TypeScript
godot,2014-01-04T16:05:36Z,94205,46911,58,55149,43785,C++
ant-design,2015-04-24T15:37:24Z,93773,19125,690,30917,29708,TypeScript
excalidraw,2020-01-02T01:04:43Z,92886,4884,13,3863,2195,TypeScript
clean-code-javascript,2016-11-25T22:25:41Z,92497,290,0,234,163,JavaScript
free-for-dev,2015-03-18T21:06:26Z,92388,3470,0,0,0,HTML
papers-we-love,2013-12-15T14:31:41Z,91015,519,0,243,243,Shell
java-design-patterns,2014-08-09T16:45:18Z,90801,2213,0,942,817,Java
frp,2015-12-21T15:24:59Z,90712,939,101,3703,3645,Go
iptv,2018-11-14T22:00:57Z,90426,7271,0,9957,9858,JavaScript
thefuck,2015-04-08T15:08:04Z,90170,707,17,745,471,Python
puppeteer,2017-05-09T22:16:13Z,89784,6388,494,7074,6819,TypeScript
tauri,2019-07-13T09:09:37Z,89706,5477,1000,5209,4258,Rust
Awesome-Hacking,2016-03-30T15:47:10Z,89183,111,0,0,0,N/A
vue-element-admin,2017-04-17T03:35:49Z,88747,590,49,3597,2357,Vue
DeepSeek-V3,2024-12-26T09:52:40Z,87456,108,0,406,299,Python
pytorch,2016-08-13T05:26:41Z,87122,98250,58,49020,34471,Python
neovim,2014-01-31T13:39:22Z,86417,19568,41,12337,10784,Vim Script
every-programmer-should-know,2017-08-24T13:18:26Z,86244,171,0,51,22,N/A
storybook,2016-03-18T04:23:44Z,85917,13405,1000,13161,11121,TypeScript
tailwindcss,2017-10-06T14:59:14Z,85860,3435,268,3982,3897,TypeScript
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,85143,883,0,295,240,JavaScript
rustdesk,2020-09-28T15:36:08Z,82577,3881,28,3298,3250,Rust
django,2012-04-28T02:47:18Z,82439,19143,0,0,0,Python
nvm,2010-04-15T17:47:47Z,82387,1099,68,2254,1954,Shell
app-ideas,2019-02-25T18:36:56Z,82258,706,0,169,43,N/A
bitcoin,2010-12-19T15:16:43Z,82127,21983,54,8406,8021,C++
svelte,2016-11-20T18:13:05Z,81507,6705,393,7974,7201,JavaScript
ui,2023-01-04T12:43:27Z,81429,1945,37,2803,2014,TypeScript
animate.css,2011-10-12T10:07:38Z,81343,910,22,873,841,CSS
realworld,2016-02-26T20:49:53Z,81225,879,0,539,495,TypeScript
fastapi,2018-12-08T08:21:47Z,81224,4323,200,3463,3411,Python
NextChat,2023-03-10T18:27:54Z,81150,2467,76,3392,2820,TypeScript
opencv,2012-07-19T09:40:17Z,80701,15771,65,11008,8442,C++
gin,2014-06-16T23:57:25Z,80437,1843,26,2288,1647,Go
DeepSeek-R1,2025-01-20T11:57:28Z,80038,49,0,401,156,N/A
awesome-mac,2016-07-17T15:33:47Z,79831,1093,10,452,342,JavaScript
laravel,2011-06-08T03:06:08Z,79708,4883,182,0,0,PHP
mall,2018-04-04T01:11:44Z,79170,124,3,496,481,Java
hugo,2013-07-04T15:26:26Z,78226,5636,315,7586,7139,Go
FiraCode,2014-11-11T19:32:38Z,78213,195,29,1344,944,Clojure
supabase,2019-10-12T05:56:49Z,77843,13382,19,4176,3863,TypeScript
open-webui,2023-10-06T22:08:27Z,77722,2468,92,4061,3911,JavaScript
models,2016-02-05T01:15:20Z,77400,3840,48,7297,6231,Python
advanced-java,2018-10-06T11:38:30Z,77054,128,1,147,142,Java
whisper,2022-09-16T20:02:54Z,76775,295,12,0,0,Python
core,2013-09-17T07:29:48Z,76685,80888,1000,57396,54518,Python
bun,2021-04-14T00:48:17Z,76351,6090,179,10699,6700,Zig
spring-boot,2012-10-19T15:02:57Z,76229,6716,300,37126,36588,Java
mermaid,2014-11-01T23:52:32Z,76003,2797,142,3132,2008,TypeScript
LeetCodeAnimation,2018-12-06T08:01:22Z,75713,77,0,61,42,Java
v2rayN,2019-07-30T03:47:24Z,75411,386,234,5364,5348,C#
manim,2015-03-22T18:50:58Z,75185,863,13,1188,751,Python
llama.cpp,2023-03-10T18:58:00Z,75009,5360,1000,4580,4231,C++
Font-Awesome,2012-02-17T14:19:43Z,74683,700,59,19578,15481,JavaScript
json-server,2013-11-27T13:21:13Z,73682,414,38,1161,546,JavaScript
netdata,2013-06-17T18:39:10Z,73568,11135,108,8021,7874,C
awesome-interview-questions,2015-11-28T09:48:17Z,73333,233,0,62,35,N/A
awesome-vue,2015-10-20T00:16:14Z,72597,3940,0,223,189,N/A
gpt4all,2023-03-27T18:49:32Z,72567,1173,37,2123,1475,C++
awesome-for-beginners,2015-10-24T19:53:36Z,71827,1375,0,171,166,N/A
elasticsearch,2010-02-08T13:20:56Z,71707,84469,171,38362,34359,Java
github-readme-stats,2020-07-09T10:34:22Z,71576,2445,0,1271,1095,JavaScript
generative-ai-for-beginners,2023-06-19T16:28:59Z,71272,426,0,139,135,Jupyter Notebook
ML-For-Beginners,2021-03-03T01:34:05Z,71185,522,0,139,136,HTML
funNLP,2018-08-21T11:20:39Z,71122,27,0,77,47,Python
dify,2023-04-12T07:40:24Z,70944,5870,119,6674,6278,TypeScript
vite,2020-04-21T05:03:57Z,70859,6711,524,7743,7299,TypeScript
code-server,2019-02-27T16:50:41Z,69937,1943,174,3603,3472,TypeScript
stable-diffusion,2022-08-10T14:36:44Z,69667,150,0,720,194,Jupyter Notebook
Front-End-Checklist,2017-10-16T10:12:36Z,69598,308,1,148,148,N/A
playwright,2019-11-15T18:32:42Z,69563,16033,141,15339,14612,TypeScript
nest,2017-02-04T20:12:52Z,69546,8783,112,5534,5503,TypeScript
moby,2013-01-18T18:10:57Z,69220,26043,212,22833,19708,Go
HowToCook,2020-02-29T10:43:49Z,69193,716,3,677,300,Dockerfile
flask,2010-04-06T11:11:59Z,68869,2620,35,2667,2665,Python
node,2023-02-01T13:55:02Z,68565,192,43,207,158,Shell
system-design-101,2023-09-18T20:52:03Z,68559,38,0,50,15,N/A
screenshot-to-code,2023-11-14T17:53:32Z,68495,113,0,366,274,Python
reveal.js,2011-06-07T18:54:22Z,68397,1097,47,2431,1677,JavaScript
hoppscotch,2019-08-21T13:15:24Z,68382,2573,64,1791,1284,TypeScript
