Nome,URL,Estrelas,Criado em,Última atualização,Tamanho (KB),Forks,Issues abertas,Watchers
krahets/hello-algo,https://github.com/krahets/hello-algo.git,110906,2022-11-04T11:08:34Z,2025-03-24T00:31:48Z,359894,13820,25,110906
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns.git,91038,2014-08-09T16:45:18Z,2025-03-23T22:49:46Z,36486,26851,136,91038
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation.git,75780,2018-12-06T08:01:22Z,2025-03-23T20:35:16Z,509807,13980,21,75780
elastic/elasticsearch,https://github.com/elastic/elasticsearch.git,72076,2010-02-08T13:20:56Z,2025-03-23T20:53:40Z,1384065,25104,4976,72076
kdn251/interviews,https://github.com/kdn251/interviews.git,64030,2017-02-14T18:19:25Z,2025-03-23T21:26:50Z,24091,12916,111,64030
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java.git,61150,2016-07-16T10:21:02Z,2025-03-23T21:55:16Z,5589,19813,6,61150
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework.git,57612,2010-12-08T04:04:45Z,2025-03-24T00:26:55Z,222884,38394,282,57612
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra.git,55612,2019-03-01T03:27:48Z,2025-03-24T00:07:13Z,381092,6232,1707,55612
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF.git,54713,2023-01-27T18:22:42Z,2025-03-24T00:21:00Z,81158,4543,225,54713
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver.git,42371,2015-10-21T08:26:28Z,2025-03-24T00:40:50Z,192742,3603,2956,42371
jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot.git,41976,2018-11-26T10:40:00Z,2025-03-24T00:18:05Z,71679,15181,46,41976
apache/dubbo,https://github.com/apache/dubbo.git,40840,2012-06-19T07:56:02Z,2025-03-23T17:25:47Z,59610,26500,919,40840
termux/termux-app,https://github.com/termux/termux-app.git,39958,2015-10-23T09:42:46Z,2025-03-24T00:01:09Z,4408,4289,411,39958
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart.git,37875,2014-04-25T14:29:47Z,2025-03-23T15:19:27Z,21720,9037,2189,37875
alibaba/arthas,https://github.com/alibaba/arthas.git,36084,2018-08-29T17:15:57Z,2025-03-23T11:55:41Z,55354,7538,435,36084
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm.git,35527,2020-05-29T05:47:09Z,2025-03-23T14:33:23Z,365053,6470,12,35527
airbnb/lottie-android,https://github.com/airbnb/lottie-android.git,35251,2016-10-06T22:42:42Z,2025-03-23T15:59:43Z,137150,5437,23,35251
halo-dev/halo,https://github.com/halo-dev/halo.git,35039,2018-03-21T12:56:52Z,2025-03-23T15:38:04Z,75518,9842,349,35039
bumptech/glide,https://github.com/bumptech/glide.git,34819,2013-07-08T22:52:33Z,2025-03-23T20:34:36Z,97215,6148,567,34819
netty/netty,https://github.com/netty/netty.git,33904,2010-11-09T09:22:21Z,2025-03-23T23:07:51Z,94256,16036,642,33904
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo.git,33514,2017-11-10T06:27:29Z,2025-03-23T12:03:16Z,14194,10953,138,33514
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe.git,33294,2015-09-03T23:39:26Z,2025-03-24T00:11:16Z,79131,3155,1202,33294
